Symbol,Date,Open,High,Low,Close,Volume
EURUSD,01-Jan-17,1.0517,1.0525,1.0517,1.052,0
EURUSD,02-Jan-17,1.0518,1.0526,1.045,1.0457,0
EURUSD,03-Jan-17,1.0457,1.049,1.0341,1.0424,0
EURUSD,04-Jan-17,1.0417,1.0501,1.039,1.0499,0
EURUSD,05-Jan-17,1.0497,1.0614,1.0483,1.0607,0
EURUSD,06-Jan-17,1.0603,1.0605,1.0524,1.0529,0
EURUSD,07-Jan-17,1.0529,1.0529,1.0529,1.0529,0
EURUSD,08-Jan-17,1.0528,1.0535,1.0526,1.0526,0
EURUSD,09-Jan-17,1.0531,1.0589,1.0512,1.0587,0
EURUSD,10-Jan-17,1.0586,1.0627,1.0551,1.0553,0
EURUSD,11-Jan-17,1.0552,1.0622,1.0454,1.0593,0
EURUSD,12-Jan-17,1.0594,1.0684,1.0572,1.0612,0
EURUSD,13-Jan-17,1.0615,1.0671,1.0596,1.0639,0
EURUSD,14-Jan-17,1.0639,1.0639,1.0639,1.0639,0
EURUSD,15-Jan-17,1.06,1.0636,1.0592,1.0628,0
EURUSD,16-Jan-17,1.0629,1.0629,1.058,1.0607,0
EURUSD,17-Jan-17,1.0602,1.0719,1.0602,1.0696,0
EURUSD,18-Jan-17,1.0682,1.0682,1.0624,1.0624,0
EURUSD,19-Jan-17,1.0628,1.0676,1.0589,1.0656,0
EURUSD,20-Jan-17,1.0659,1.0709,1.0625,1.0699,0
EURUSD,21-Jan-17,1.0699,1.0699,1.0699,1.0699,0
EURUSD,22-Jan-17,1.0706,1.0716,1.0694,1.0712,0
EURUSD,23-Jan-17,1.0717,1.0772,1.0711,1.0758,0
EURUSD,24-Jan-17,1.0759,1.0774,1.072,1.0728,0
EURUSD,25-Jan-17,1.0728,1.077,1.0711,1.0748,0
EURUSD,26-Jan-17,1.0752,1.0765,1.0658,1.0679,0
EURUSD,27-Jan-17,1.0683,1.0725,1.0658,1.0697,0
EURUSD,28-Jan-17,1.0697,1.0697,1.0697,1.0697,0
EURUSD,29-Jan-17,1.0718,1.0729,1.0708,1.0717,0
EURUSD,30-Jan-17,1.0719,1.074,1.062,1.0708,0
EURUSD,31-Jan-17,1.0789,1.0804,1.0789,1.0804,0
EURUSD,01-Feb-17,1.0789,1.0807,1.0732,1.0771,0
EURUSD,02-Feb-17,1.0765,1.0829,1.0756,1.076,0
EURUSD,03-Feb-17,1.0761,1.0797,1.0716,1.0784,0
EURUSD,04-Feb-17,1.0784,1.0784,1.0784,1.0784,0
EURUSD,05-Feb-17,1.0794,1.0797,1.0778,1.078,0
EURUSD,06-Feb-17,1.0778,1.0785,1.0706,1.0741,0
EURUSD,07-Feb-17,1.0743,1.0743,1.0656,1.0678,0
EURUSD,08-Feb-17,1.068,1.0711,1.064,1.0698,0
EURUSD,09-Feb-17,1.0691,1.0709,1.0651,1.0657,0
EURUSD,10-Feb-17,1.0657,1.0667,1.0607,1.064,0
EURUSD,11-Feb-17,1.064,1.064,1.064,1.064,0
EURUSD,12-Feb-17,1.0626,1.0637,1.0617,1.0617,0
EURUSD,13-Feb-17,1.0619,1.0658,1.0592,1.0599,0
EURUSD,14-Feb-17,1.0599,1.0633,1.0561,1.0575,0
EURUSD,15-Feb-17,1.0602,1.0604,1.0602,1.0604,0
EURUSD,16-Feb-17,1.0607,1.0679,1.0604,1.0671,0
EURUSD,17-Feb-17,1.0671,1.0676,1.0605,1.0613,0
EURUSD,18-Feb-17,1.0613,1.0613,1.0613,1.0613,0
EURUSD,19-Feb-17,1.0609,1.0633,1.0606,1.0632,0
EURUSD,20-Feb-17,1.0623,1.0626,1.0603,1.0608,0
EURUSD,21-Feb-17,1.0609,1.0611,1.0526,1.0543,0
EURUSD,22-Feb-17,1.0541,1.0574,1.0493,1.0545,0
EURUSD,23-Feb-17,1.055,1.0595,1.0537,1.0584,0
EURUSD,24-Feb-17,1.0584,1.0618,1.0557,1.056,0
EURUSD,25-Feb-17,1.056,1.056,1.056,1.056,0
EURUSD,26-Feb-17,1.0568,1.0568,1.0552,1.0552,0
EURUSD,27-Feb-17,1.0552,1.063,1.0552,1.0583,0
EURUSD,28-Feb-17,1.0583,1.063,1.0567,1.0567,0
EURUSD,01-Mar-17,1.0583,1.063,1.0515,1.0535,0
EURUSD,02-Mar-17,1.0536,1.0544,1.0495,1.0505,0
EURUSD,03-Mar-17,1.0507,1.0624,1.0505,1.0621,0
EURUSD,04-Mar-17,1.0621,1.0621,1.0621,1.0621,0
EURUSD,05-Mar-17,1.0602,1.0621,1.06,1.0621,0
EURUSD,06-Mar-17,1.0615,1.064,1.0575,1.0578,0
EURUSD,07-Mar-17,1.0579,1.0602,1.0558,1.0569,0
EURUSD,08-Mar-17,1.0569,1.0574,1.0535,1.0547,0
EURUSD,09-Mar-17,1.0545,1.0615,1.0525,1.0576,0
EURUSD,10-Mar-17,1.0579,1.0699,1.0579,1.067,0
EURUSD,11-Mar-17,1.067,1.067,1.067,1.067,0
EURUSD,12-Mar-17,1.0684,1.0693,1.0675,1.0693,0
EURUSD,13-Mar-17,1.0691,1.0714,1.0645,1.065,0
EURUSD,14-Mar-17,1.0651,1.0662,1.0601,1.0612,0
EURUSD,15-Mar-17,1.0612,1.074,1.0612,1.0736,0
EURUSD,16-Mar-17,1.0737,1.0774,1.0706,1.0772,0
EURUSD,17-Mar-17,1.0771,1.0782,1.0727,1.0737,0
EURUSD,18-Mar-17,1.0737,1.0737,1.0737,1.0737,0
EURUSD,19-Mar-17,1.0731,1.0745,1.0731,1.0743,0
EURUSD,20-Mar-17,1.0745,1.0777,1.0719,1.0734,0
EURUSD,21-Mar-17,1.0737,1.0819,1.0737,1.0809,0
EURUSD,22-Mar-17,1.081,1.0824,1.0776,1.0791,0
EURUSD,23-Mar-17,1.079,1.0805,1.0768,1.0784,0
EURUSD,24-Mar-17,1.0783,1.0818,1.076,1.0796,0
EURUSD,25-Mar-17,1.0796,1.0796,1.0796,1.0796,0
EURUSD,26-Mar-17,1.0835,1.0849,1.0827,1.0846,0
EURUSD,27-Mar-17,1.0842,1.0905,1.0841,1.0859,0
EURUSD,28-Mar-17,1.0861,1.0872,1.0799,1.0819,0
EURUSD,29-Mar-17,1.0816,1.0826,1.074,1.0759,0
EURUSD,30-Mar-17,1.0758,1.0765,1.0672,1.0688,0
EURUSD,31-Mar-17,1.0687,1.0701,1.0652,1.0653,0
EURUSD,01-Apr-17,1.0687,1.0701,1.0652,1.0653,0
EURUSD,02-Apr-17,1.0662,1.0674,1.0659,1.067,0
EURUSD,03-Apr-17,1.0674,1.0681,1.0643,1.067,0
EURUSD,04-Apr-17,1.067,1.0685,1.0636,1.0679,0
EURUSD,05-Apr-17,1.0678,1.0689,1.0635,1.0672,0
EURUSD,06-Apr-17,1.0672,1.0684,1.0629,1.0644,0
EURUSD,07-Apr-17,1.0644,1.0664,1.0581,1.0588,0
EURUSD,08-Apr-17,1.0588,1.0588,1.0588,1.0588,0
EURUSD,09-Apr-17,1.0582,1.0589,1.0574,1.0581,0
EURUSD,10-Apr-17,1.0582,1.0606,1.057,1.0597,0
EURUSD,11-Apr-17,1.0597,1.063,1.0579,1.061,0
EURUSD,12-Apr-17,1.061,1.0675,1.0589,1.067,0
EURUSD,13-Apr-17,1.067,1.0678,1.0609,1.0615,0
EURUSD,14-Apr-17,1.0615,1.0628,1.0609,1.061,0
