Symbol,Date,Open,High,Low,Close,Volume
AUDUSD,2017/09/06 00:00:00,8003.15,8022.9,7963.8,8008.65,339147
AUDUSD,2017/09/07 00:00:00,8008.55,8050.6,7974.9,8043.05,338964
AUDUSD,2017/09/08 00:00:00,8043.15,8126.1,8043.6,8054.3,412889
AUDUSD,2017/09/10 00:00:00,8065.3,8072.6,8045.0,8052.35,11821
AUDUSD,2017/09/11 00:00:00,8052.25,8059.5,8018.9,8031.45,265526
AUDUSD,2017/09/12 00:00:00,8031.15,8050.1,7998.6,8019.05,314925
AUDUSD,2017/09/13 00:00:00,8018.85,8045.1,7970.8,7983.95,324726
AUDUSD,2017/09/14 00:00:00,7984.65,8017.0,7956.0,7999.55,377636
AUDUSD,2017/09/15 00:00:00,7999.45,8036.8,7987.0,8002.3,305921
AUDUSD,2017/09/17 00:00:00,8002.45,8007.3,7996.2,7998.6,7401
AUDUSD,2017/09/18 00:00:00,7998.85,8036.2,7940.2,7963.65,253249
AUDUSD,2017/09/19 00:00:00,7963.75,8020.9,7962.0,8006.1,301610
AUDUSD,2017/09/20 00:00:00,8006.35,8105.8,7986.6,8030.05,358626
AUDUSD,2017/09/21 00:00:00,8029.95,8031.0,7917.2,7927.05,361505
AUDUSD,2017/09/22 00:00:00,7927.15,7987.2,7908.5,7964.6,258678
AUDUSD,2017/09/24 00:00:00,7946.45,7961.5,7944.1,7956.25,7532
AUDUSD,2017/09/25 00:00:00,7956.35,7974.6,7926.6,7936.75,313894
AUDUSD,2017/09/26 00:00:00,7936.55,7949.6,7860.1,7884.45,342859
AUDUSD,2017/09/27 00:00:00,7884.5,7889.5,7836.6,7851.55,382808
AUDUSD,2017/09/28 00:00:00,7851.75,7861.3,7799.8,7850.9,370842
AUDUSD,2017/09/29 00:00:00,7850.85,7855.7,7817.1,7833.0,311515
