Symbol,Date,Open,High,Low,Close,Volume
CADCHF,2017-09-02T23:00:00,7719.25,7767.8,7725.5,7761.6,5382
CADCHF,2017-09-03T23:00:00,7761.8,7770.4,7694.3,7718.5,95546
CADCHF,2017-09-04T23:00:00,7718.4,7761.9,7701.9,7712.3,158884
CADCHF,2017-09-05T23:00:00,7712.4,7878.6,7696.8,7812.3,150709
CADCHF,2017-09-06T23:00:00,7812.5,7860.2,7801.8,7841.1,161105
CADCHF,2017-09-07T23:00:00,7841.5,7848.9,7770.4,7767.4,163414
CADCHF,2017-09-09T23:00:00,7796.2,7808.8,7790.0,7795.4,5276
CADCHF,2017-09-10T23:00:00,7795.2,7906.7,7797.3,7896.3,142920
CADCHF,2017-09-11T23:00:00,7896.9,7920.3,7871.4,7882.7,156069
CADCHF,2017-09-12T23:00:00,7882.0,7930.1,7878.7,7915.8,145841
CADCHF,2017-09-13T23:00:00,7918.5,7961.7,7894.5,7905.45,155737
CADCHF,2017-09-14T23:00:00,7906.6,7932.0,7861.3,7867.95,136575
CADCHF,2017-09-16T23:00:00,7885.9,7891.8,7876.0,7877.8,2508
CADCHF,2017-09-17T23:00:00,7877.9,7899.5,7803.8,7831.9,138324
CADCHF,2017-09-18T23:00:00,7831.8,7861.5,7801.7,7829.3,144946
CADCHF,2017-09-19T23:00:00,7829.5,7880.6,7821.7,7865.6,154605
CADCHF,2017-09-20T23:00:00,7866.2,7895.0,7857.1,7873.5,150364
CADCHF,2017-09-21T23:00:00,7873.3,7913.9,7848.0,7856.7,131919
CADCHF,2017-09-23T23:00:00,7872.1,7884.7,7862.9,7862.7,4504
CADCHF,2017-09-24T23:00:00,7863.0,7914.3,7799.0,7814.0,137630
CADCHF,2017-09-25T23:00:00,7813.9,7869.8,7797.3,7841.9,148944
CADCHF,2017-09-26T23:00:00,7842.1,7904.0,7787.9,7793.2,167960
CADCHF,2017-09-27T23:00:00,7793.5,7821.7,7781.4,7805.1,161395
CADCHF,2017-09-28T23:00:00,7804.9,7820.3,7731.3,7762.55,134757
CADCHF,2017-09-30T23:00:00,7751.7,7778.1,7757.1,7765.8,4592
CADCHF,2017-10-01T23:00:00,7766.1,7802.9,7751.8,7794.15,120641
