Symbol,Date,Open,High,Low,Close,Volume
CADJPY,2017-09-02T23:00:00,8807.15,8877.0,8805.3,8870.6,11719
CADJPY,2017-09-03T23:00:00,8870.1,8880.9,8815.7,8836.3,116943
CADJPY,2017-09-04T23:00:00,8836.4,8849.8,8771.2,8779.2,176523
CADJPY,2017-09-05T23:00:00,8779.3,8995.5,8756.6,8923.1,186375
CADJPY,2017-09-06T23:00:00,8923.4,8966.6,8901.3,8946.3,201854
CADJPY,2017-09-07T23:00:00,8946.1,8968.6,8858.2,8873.2,198522
CADJPY,2017-09-09T23:00:00,8909.45,8929.4,8896.3,8916.5,10881
CADJPY,2017-09-10T23:00:00,8916.4,9040.5,8903.9,9030.2,179461
CADJPY,2017-09-11T23:00:00,9030.8,9069.1,9023.4,9050.2,180817
CADJPY,2017-09-12T23:00:00,9049.9,9086.6,9040.6,9082.4,172767
CADJPY,2017-09-13T23:00:00,9086.3,9103.5,9003.1,9040.4,199212
CADJPY,2017-09-14T23:00:00,9040.3,9166.0,9036.5,9087.4,171438
CADJPY,2017-09-16T23:00:00,9116.0,9123.7,9108.1,9110.8,6547
CADJPY,2017-09-17T23:00:00,9111.0,9151.5,9043.5,9079.3,173096
CADJPY,2017-09-18T23:00:00,9079.2,9108.4,9050.6,9076.6,197136
CADJPY,2017-09-19T23:00:00,9076.8,9144.4,9066.4,9112.8,177964
CADJPY,2017-09-20T23:00:00,9113.0,9131.7,9078.7,9121.9,201852
CADJPY,2017-09-21T23:00:00,9122.2,9150.2,9069.2,9076.6,180482
CADJPY,2017-09-23T23:00:00,9100.75,9107.4,9086.6,9100.0,6384
CADJPY,2017-09-24T23:00:00,9099.7,9122.5,9016.5,9035.0,182451
CADJPY,2017-09-25T23:00:00,9035.1,9101.0,9009.1,9085.8,184103
CADJPY,2017-09-26T23:00:00,9085.9,9148.7,9034.7,9048.2,221858
CADJPY,2017-09-27T23:00:00,9048.1,9059.7,9020.7,9040.5,220265
CADJPY,2017-09-28T23:00:00,9040.6,9067.3,8986.0,9021.9,180392
CADJPY,2017-09-30T23:00:00,9018.15,9035.4,9010.4,9031.9,6506
CADJPY,2017-10-01T23:00:00,9031.7,9043.6,9000.6,9009.1,152706
