Symbol,Date,Open,High,Low,Close,Volume
EURJPY,2017-09-02T23:00:00,13005.4,13056.3,13006.5,13046.35,26321
EURJPY,2017-09-03T23:00:00,13046.55,13072.2,13011.4,13049.05,425509
EURJPY,2017-09-04T23:00:00,13049.15,13065.1,12938.4,12943.95,596851
EURJPY,2017-09-05T23:00:00,12943.85,13040.8,12937.7,13020.25,552095
EURJPY,2017-09-06T23:00:00,13020.35,13110.6,12992.1,13032.05,612617
EURJPY,2017-09-07T23:00:00,13031.95,13069.0,12947.6,12980.4,620034
EURJPY,2017-09-09T23:00:00,13009.6,13038.7,13002.8,13022.35,29166
EURJPY,2017-09-10T23:00:00,13022.25,13091.9,12999.7,13070.85,499474
EURJPY,2017-09-11T23:00:00,13071.45,13198.7,13069.2,13195.55,525161
EURJPY,2017-09-12T23:00:00,13195.45,13202.7,13126.9,13142.55,484499
EURJPY,2017-09-13T23:00:00,13142.95,13176.8,13063.4,13104.75,599418
EURJPY,2017-09-14T23:00:00,13104.55,13310.5,13099.8,13241.7,571765
EURJPY,2017-09-16T23:00:00,13256.95,13275.4,13243.2,13260.55,19028
EURJPY,2017-09-17T23:00:00,13260.95,13344.3,13261.1,13330.45,490934
EURJPY,2017-09-18T23:00:00,13330.25,13418.8,13323.9,13380.85,568502
EURJPY,2017-09-19T23:00:00,13381.15,13410.9,13326.9,13360.65,533976
EURJPY,2017-09-20T23:00:00,13360.75,13439.2,13351.4,13429.05,544757
EURJPY,2017-09-21T23:00:00,13429.25,13441.7,13351.0,13381.2,509400
EURJPY,2017-09-23T23:00:00,13365.4,13402.9,13349.3,13393.75,21918
EURJPY,2017-09-24T23:00:00,13393.55,13425.3,13192.7,13245.85,573394
EURJPY,2017-09-25T23:00:00,13245.75,13261.1,13175.6,13236.05,542205
EURJPY,2017-09-26T23:00:00,13235.85,13275.5,13209.6,13255.75,581100
EURJPY,2017-09-27T23:00:00,13255.85,13289.6,13230.5,13242.75,538756
EURJPY,2017-09-28T23:00:00,13242.15,13312.7,13235.3,13290.85,457158
EURJPY,2017-09-30T23:00:00,13284.1,13308.5,13266.2,13302.75,16359
EURJPY,2017-10-01T23:00:00,13302.85,13308.3,13219.8,13226.65,429448
