Symbol,Date,Open,High,Low,Close,Volume
GBPZAR,2017-09-02T23:00:00,167578.5,168454.1,167770.1,167841.6,5347
GBPZAR,2017-09-03T23:00:00,167883.2,168391.0,167388.2,167552.4,117974
GBPZAR,2017-09-04T23:00:00,167519.25,169023.0,167240.0,168409.7,174784
GBPZAR,2017-09-05T23:00:00,168407.3,169003.0,166435.0,167024.0,176602
GBPZAR,2017-09-06T23:00:00,167025.3,168907.6,166549.5,167746.5,182082
GBPZAR,2017-09-07T23:00:00,167745.7,171247.0,167765.5,170626.3,172366
GBPZAR,2017-09-09T23:00:00,170377.5,171167.0,170418.7,170411.15,4389
GBPZAR,2017-09-10T23:00:00,170462.45,171415.4,169834.1,170932.9,152177
GBPZAR,2017-09-11T23:00:00,170936.5,173426.6,170061.3,173001.55,178166
GBPZAR,2017-09-12T23:00:00,172990.0,174528.4,172689.1,173693.9,179706
GBPZAR,2017-09-13T23:00:00,173709.1,176976.3,173222.9,175943.5,179520
GBPZAR,2017-09-14T23:00:00,175976.5,179940.7,175776.0,178947.05,181283
GBPZAR,2017-09-16T23:00:00,178615.0,179465.5,178870.3,178647.55,4413
GBPZAR,2017-09-17T23:00:00,178629.5,180325.6,178542.3,179648.9,162271
GBPZAR,2017-09-18T23:00:00,179650.5,180575.5,179502.1,180084.9,166485
GBPZAR,2017-09-19T23:00:00,180084.4,181138.2,179131.9,180035.95,179353
GBPZAR,2017-09-20T23:00:00,179986.1,181371.4,179054.6,180358.8,174121
GBPZAR,2017-09-21T23:00:00,180328.0,180803.3,178143.9,178829.4,163913
GBPZAR,2017-09-23T23:00:00,178441.7,179405.3,178796.3,178697.7,5690
GBPZAR,2017-09-24T23:00:00,178698.0,180400.1,178778.1,179889.55,170561
GBPZAR,2017-09-25T23:00:00,179773.5,180732.7,179001.2,179889.0,167405
GBPZAR,2017-09-26T23:00:00,179892.0,182427.0,179188.7,181959.5,194044
GBPZAR,2017-09-27T23:00:00,181964.15,183345.2,181463.0,181586.8,174168
GBPZAR,2017-09-28T23:00:00,181534.0,182272.0,180021.5,181551.0,168115
GBPZAR,2017-09-30T23:00:00,180843.0,182445.0,181110.8,181736.4,5453
GBPZAR,2017-10-01T23:00:00,181664.1,182239.1,180176.5,180386.7,139937
