Symbol,Date,Open,High,Low,Close,Volume
SGDJPY,2017-09-02T23:00:00,8059.3,8098.9,8060.6,8090.5,5565
SGDJPY,2017-09-03T23:00:00,8090.3,8099.7,8059.5,8082.9,77522
SGDJPY,2017-09-04T23:00:00,8082.7,8095.8,8019.0,8021.5,131673
SGDJPY,2017-09-05T23:00:00,8021.0,8106.6,8020.9,8087.0,127267
SGDJPY,2017-09-06T23:00:00,8087.2,8116.8,8064.6,8088.9,134951
SGDJPY,2017-09-07T23:00:00,8088.8,8097.9,8027.7,8037.85,147512
SGDJPY,2017-09-09T23:00:00,8073.2,8092.4,8070.5,8071.6,6426
SGDJPY,2017-09-10T23:00:00,8071.5,8146.5,8058.0,8118.7,115236
SGDJPY,2017-09-11T23:00:00,8119.0,8186.5,8120.1,8180.4,117134
SGDJPY,2017-09-12T23:00:00,8180.1,8206.8,8173.7,8183.6,116550
SGDJPY,2017-09-13T23:00:00,8183.7,8219.1,8140.0,8165.7,129067
SGDJPY,2017-09-14T23:00:00,8165.8,8284.3,8164.9,8234.5,125146
SGDJPY,2017-09-16T23:00:00,8260.25,8276.1,8252.3,8252.5,3944
SGDJPY,2017-09-17T23:00:00,8252.3,8294.5,8254.5,8272.8,108872
SGDJPY,2017-09-18T23:00:00,8272.5,8309.0,8250.4,8283.3,126094
SGDJPY,2017-09-19T23:00:00,8283.4,8338.8,8278.0,8329.3,118432
SGDJPY,2017-09-20T23:00:00,8329.1,8342.1,8301.0,8329.2,129775
SGDJPY,2017-09-21T23:00:00,8329.3,8344.0,8280.0,8320.0,119995
SGDJPY,2017-09-23T23:00:00,8335.7,8345.7,8323.2,8337.0,6216
SGDJPY,2017-09-24T23:00:00,8336.8,8360.3,8250.0,8268.2,130153
SGDJPY,2017-09-25T23:00:00,8268.3,8295.3,8249.3,8286.1,127372
SGDJPY,2017-09-26T23:00:00,8285.9,8326.9,8280.8,8300.5,145047
SGDJPY,2017-09-27T23:00:00,8300.3,8310.3,8270.5,8276.3,137774
SGDJPY,2017-09-28T23:00:00,8275.7,8312.1,8274.6,8286.7,102957
SGDJPY,2017-09-30T23:00:00,8297.4,8305.3,8285.5,8297.9,4837
SGDJPY,2017-10-01T23:00:00,8298.0,8304.8,8270.7,8278.1,102917
