Symbol,Date,Open,High,Low,Close,Volume
USDCHF,2017-09-09T23:00:00,9474.25,9483.0,9467.2,9472.4,6449
USDCHF,2017-09-10T23:00:00,9472.3,9570.4,9472.3,9555.1,256660
USDCHF,2017-09-11T23:00:00,9555.5,9619.3,9547.2,9599.7,272270
USDCHF,2017-09-12T23:00:00,9599.8,9661.6,9584.8,9630.0,269586
USDCHF,2017-09-13T23:00:00,9630.1,9707.0,9615.6,9615.75,340714
USDCHF,2017-09-14T23:00:00,9615.6,9648.7,9565.9,9596.15,272383
USDCHF,2017-09-16T23:00:00,9611.9,9620.0,9597.8,9600.7,4988
USDCHF,2017-09-17T23:00:00,9600.6,9642.0,9580.9,9617.1,240043
USDCHF,2017-09-18T23:00:00,9617.2,9650.1,9596.0,9622.8,251529
USDCHF,2017-09-19T23:00:00,9623.0,9719.6,9590.9,9699.3,279082
USDCHF,2017-09-20T23:00:00,9699.2,9748.8,9685.9,9706.9,285019
USDCHF,2017-09-21T23:00:00,9707.0,9709.1,9669.1,9693.4,246786
USDCHF,2017-09-23T23:00:00,9711.8,9726.0,9701.6,9707.0,5579
USDCHF,2017-09-24T23:00:00,9707.1,9747.6,9643.5,9662.6,239797
USDCHF,2017-09-25T23:00:00,9662.5,9728.2,9653.5,9689.8,243241
USDCHF,2017-09-26T23:00:00,9689.9,9770.9,9690.7,9723.3,272698
USDCHF,2017-09-27T23:00:00,9722.8,9760.2,9683.6,9704.5,246189
USDCHF,2017-09-28T23:00:00,9704.6,9722.4,9671.2,9679.35,218034
USDCHF,2017-09-30T23:00:00,9682.9,9698.3,9683.3,9684.4,6074
USDCHF,2017-10-01T23:00:00,9684.3,9756.1,9683.0,9742.2,223233
USDCHF,2017-10-02T23:00:00,9742.9,9787.9,9729.6,9734.2,195645
USDCHF,2017-10-03T23:00:00,9733.4,9767.6,9710.3,9750.1,199243
USDCHF,2017-10-04T23:00:00,9750.2,9796.7,9743.8,9784.6,199412
USDCHF,2017-10-05T23:00:00,9784.2,9837.6,9771.6,9778.0,236079
USDCHF,2017-10-07T23:00:00,9785.9,9799.1,9776.2,9780.4,4942
USDCHF,2017-10-08T23:00:00,9780.25,9808.6,9775.4,9798.85,91860
