Symbol,Date,Open,High,Low,Close,Volume
USDJPY,2017-09-02T23:00:00,10944.9,10990.8,10943.2,10983.25,24382
USDJPY,2017-09-03T23:00:00,10983.05,10994.1,10938.6,10967.25,283261
USDJPY,2017-09-04T23:00:00,10967.15,10984.3,10851.8,10858.15,445977
USDJPY,2017-09-05T23:00:00,10858.25,10940.4,10845.4,10918.15,395647
USDJPY,2017-09-06T23:00:00,10918.45,10925.8,10805.1,10843.05,463444
USDJPY,2017-09-07T23:00:00,10842.95,10849.3,10732.3,10785.2,512842
USDJPY,2017-09-09T23:00:00,10829.0,10850.3,10815.4,10834.85,30686
USDJPY,2017-09-10T23:00:00,10834.75,10951.5,10816.9,10926.75,350684
USDJPY,2017-09-11T23:00:00,10927.15,11026.2,10927.5,11021.85,372109
USDJPY,2017-09-12T23:00:00,11022.35,11070.0,10990.4,11049.65,356770
USDJPY,2017-09-13T23:00:00,11049.55,11104.8,10956.6,10994.15,459649
USDJPY,2017-09-14T23:00:00,10994.25,11134.3,10989.6,11083.5,438701
USDJPY,2017-09-16T23:00:00,11111.3,11118.5,11100.4,11103.55,15311
USDJPY,2017-09-17T23:00:00,11103.65,11167.3,11103.0,11148.55,326851
USDJPY,2017-09-18T23:00:00,11148.45,11189.0,11120.6,11156.15,416236
USDJPY,2017-09-19T23:00:00,11156.05,11254.1,11111.3,11236.95,367877
USDJPY,2017-09-20T23:00:00,11236.45,11272.5,11213.9,11246.35,410233
USDJPY,2017-09-21T23:00:00,11246.45,11256.3,11165.8,11199.25,375850
USDJPY,2017-09-23T23:00:00,11227.6,11239.8,11212.9,11234.25,15827
USDJPY,2017-09-24T23:00:00,11234.15,11253.9,11147.7,11172.25,475605
USDJPY,2017-09-25T23:00:00,11172.15,11248.7,11150.1,11226.55,411069
USDJPY,2017-09-26T23:00:00,11226.75,11326.2,11226.9,11288.85,511230
USDJPY,2017-09-27T23:00:00,11289.15,11321.8,11226.3,11240.95,462294
USDJPY,2017-09-28T23:00:00,11240.85,11274.5,11221.6,11250.7,376967
USDJPY,2017-09-30T23:00:00,11265.4,11270.7,11247.3,11263.35,11801
USDJPY,2017-10-01T23:00:00,11263.25,11306.3,11253.7,11264.35,333723
