Symbol,Date,Open,High,Low,Close,Volume
USDSGD,2017-09-02T23:00:00,13583.4,13595.3,13575.2,13575.6,3188
USDSGD,2017-09-03T23:00:00,13575.7,13588.0,13558.9,13567.9,54260
USDSGD,2017-09-04T23:00:00,13567.8,13576.5,13517.1,13537.2,83149
USDSGD,2017-09-05T23:00:00,13537.3,13540.9,13482.7,13500.8,84343
USDSGD,2017-09-06T23:00:00,13500.7,13506.6,13397.5,13405.3,92621
USDSGD,2017-09-07T23:00:00,13405.2,13431.7,13347.9,13417.8,99578
USDSGD,2017-09-09T23:00:00,13412.5,13428.6,13416.6,13423.2,3015
USDSGD,2017-09-10T23:00:00,13423.1,13479.0,13420.1,13458.8,86659
USDSGD,2017-09-11T23:00:00,13459.0,13483.2,13438.4,13474.5,82512
USDSGD,2017-09-12T23:00:00,13474.4,13517.6,13441.0,13503.2,84370
USDSGD,2017-09-13T23:00:00,13503.1,13541.0,13464.3,13464.5,97549
USDSGD,2017-09-14T23:00:00,13464.6,13481.6,13426.3,13451.4,88050
USDSGD,2017-09-16T23:00:00,13451.75,13476.8,13453.7,13454.9,2552
USDSGD,2017-09-17T23:00:00,13455.3,13498.9,13426.0,13477.0,73493
USDSGD,2017-09-18T23:00:00,13476.8,13496.4,13457.1,13467.8,89038
USDSGD,2017-09-19T23:00:00,13467.6,13522.0,13404.4,13491.0,93134
USDSGD,2017-09-20T23:00:00,13490.9,13535.7,13491.6,13501.6,85353
USDSGD,2017-09-21T23:00:00,13501.8,13509.3,13436.4,13460.4,74674
USDSGD,2017-09-23T23:00:00,13469.35,13487.0,13475.3,13475.2,2662
USDSGD,2017-09-24T23:00:00,13474.9,13521.0,13463.9,13512.5,77146
USDSGD,2017-09-25T23:00:00,13512.4,13576.3,13503.7,13549.1,81846
USDSGD,2017-09-26T23:00:00,13550.0,13608.6,13548.7,13600.5,89985
USDSGD,2017-09-27T23:00:00,13600.8,13648.2,13575.9,13582.0,88009
USDSGD,2017-09-28T23:00:00,13581.9,13596.2,13557.9,13576.3,76993
USDSGD,2017-09-30T23:00:00,13577.0,13585.5,13574.7,13574.2,3687
USDSGD,2017-10-01T23:00:00,13573.6,13631.9,13574.0,13608.9,70742
